"ID příspěvku","ID účtu","Uživatelské jméno účtu","Název účtu",Popis,"Délka (v sekundách)","Čas zveřejnění","Přímý odkaz","Typ příspěvku","Komentář s daty",Datum,Zobrazení,Dosah,"To se mi líbí",Sdílené,Sledující,Komentáře,Uložení
18573126967026794,17841409576254354,praguechessfestival,"Prague Chess Festival","Only one decisive result in round seven. Which game did you enjoy the most? ♟️
V sedmém kole jen jediný rozhodný výsledek. Jakou partii jste si užili nejvíc?",0,"03/04/2026 11:41",https://www.instagram.com/p/DVeYDj8DGFP/,"IG image",,Dlouhodobě,5786,3654,55,3,0,0,2
18095651542978409,17841409576254354,praguechessfestival,"Prague Chess Festival","No introduction needed for the Uzbek phenom Nodirbek Abdusattorov. The full interview with the world number five is available on our YouTube channel. ♟️
Netřeba představovat uzbeckého fenoména Nodirbeka Abdusattorova. Celý rozhovor se světovou pětkou k dispozici na našem Youtube kanálu.",127,"03/04/2026 07:03",https://www.instagram.com/reel/DVd4Ac4gcON/,"IG reel",,Dlouhodobě,6727,4837,487,37,13,11,20
18002748776708409,17841409576254354,praguechessfestival,"Prague Chess Festival","Již tradičně Pražský šachový festival klade velký důraz na podporu žen a nadějných slečen v šachovém světě. Jsme moc rádi, že jednou z tváří se letos stala také česká herečka a uznávaná spisovatelka Aňa Geislerová. Celý rozhovor s ní je už teď k dispozici na našem YouTube kanálu.",80,"03/04/2026 05:38",https://www.instagram.com/reel/DVduWBRgdW8/,"IG reel",,Dlouhodobě,1241,906,35,4,0,0,4
18069741887647230,17841409576254354,praguechessfestival,"Prague Chess Festival","The Masters section today offers a direct clash for the provisional lead. The Uzbek phenom Nodirbek Abdusattorov will be putting pressure on Jorden van Foreest. Local hero David Navara will have the white pieces against Hans Niemann. ♟️

Masters sekce dnes nabízí přímý souboj o průběžné vedení. Uzbecký fenomén Abdusattorov bude tlačit na van Foreesta. Domácí borec Navara bude hrát bílými proti Niemannovi. ♟️",0,"03/04/2026 04:11",https://www.instagram.com/p/DVdkn6sjCDd/,"IG image",,Dlouhodobě,13115,9132,36,6,0,1,0
18093510821097470,17841409576254354,praguechessfestival,"Prague Chess Festival","We have the last three rounds ahead of us! Who do you see as the favorite to win today?

Jsou před námi poslední tři kola! Koho favorizujete na výhru v tom dnešním?",0,"03/04/2026 04:04",https://www.instagram.com/p/DVdjzoQDOV6/,"IG image",,Dlouhodobě,1930,1102,14,1,0,0,0
17999044805879743,17841409576254354,praguechessfestival,"Prague Chess Festival","Highlights of day six! At your service! Enjoy ♟️✨🤩

Made by our own @dominika_charvatova 💪🎬

Užijte si souhrn toho nejlepšího, co nabídl šestý hrací den. 😊🔥

#chess #prague #instadaily",0,"03/04/2026 02:34",https://www.instagram.com/reel/DVdY8DYjMse/,"IG reel",,Dlouhodobě,3487,2450,38,5,0,0,3
17897381691407377,17841409576254354,praguechessfestival,"Prague Chess Festival","Round six in pictures! 📸✨

by @zewlakk_foto 🔥

Šesté kolo v obrazech. 🖼️ 

#chess #photo #pic #photographer",0,"03/03/2026 23:15",https://www.instagram.com/p/DVdCuibjLkW/,"IG carousel",,Dlouhodobě,6751,2827,115,14,1,1,3
17909889165346183,17841409576254354,praguechessfestival,"Prague Chess Festival","How does it feel to beat world champion? 🔥 @aravindhachithambaram knows that feeling! 💪♟️

Jaké to je porazit úřadujícího mistra světa? Aravindh Vám to řekne! 🗣️ 

#chess #indian #clash #prague #masters",49,"03/03/2026 21:49",https://www.instagram.com/reel/DVc4Gh1jC30/,"IG reel",,Dlouhodobě,12182,9946,55,4,1,0,4
18044298398513062,17841409576254354,praguechessfestival,"Prague Chess Festival","He's oldest player in Masters category. Also he's still undefeated! 💪♟️ David Navara keeps playing fantastic chess. Today he drew against leader Jorden Van Foreest. Listen to his interview with lovely @keti_tsatsalashvili 🎙️🎧

Je nejstarší v kategorii Masters, má nejnižší ELO. Ale David Navara letos ukazuje, že na věku opravdu nezáleží! 🔥🤩 Dnes remizoval s lídrem tabulky Jordenem Van Foreestem a je dál druhý o půl bodu! Poslechněte si, co říkal po šestém kole. 👇

#chess #czech #legend",104,"03/03/2026 12:59",https://www.instagram.com/reel/DVb7kA5DBXR/,"IG reel",,Dlouhodobě,3403,2190,107,3,2,3,2
17878181526501482,17841409576254354,praguechessfestival,"Prague Chess Festival","GM @jordenvforeest still in the lead after six rounds in Masters category! 💪♟️But David Navara and @abdusattorov_nodirbek_official are close! Reigning world champion Gukesh is last! 👀 

Nizozemec Jorden Van Foreest vede i 6. kole v Masters. Ale David Navara s Nodirbekem Abdusattorovem jsou blízko ! Úřadující mistr světa Gukesh se trápí a klesl na poslední misto! 🤯

#chess #masters #prague",0,"03/03/2026 12:17",https://www.instagram.com/p/DVb20YpDGk7/,"IG image",,Dlouhodobě,7483,4588,73,5,0,2,1
18337387324242368,17841409576254354,praguechessfestival,"Prague Chess Festival","Czech wonderkid still shines at the top! 🤩 Václav Finěk has four and a half points after six rounds in Challengers category. 🇨🇿💪

Český talent stále v čele Challengers! Po šesti kolech má čtyři a půl bodu. ♟️🙏",0,"03/03/2026 11:32",https://www.instagram.com/p/DVbxzIuDKWC/,"IG image",,Dlouhodobě,6080,3636,40,2,0,0,0
18072482003442302,17841409576254354,praguechessfestival,"Prague Chess Festival","♟️ Over FOUR HUNDRED players participate this year in Karel Janeček OPEN tournament.🔥🎩

Thank you!!! 🙏

V Open kategorii Vás hraje vic než 400. 🤯 Wow. ✨

#chess #open #tournament

📸 @zewlakk_foto",0,"03/03/2026 09:23",https://www.instagram.com/p/DVbje-QjA3h/,"IG carousel",,Dlouhodobě,4565,2313,191,12,9,3,6
17957976203924670,17841409576254354,praguechessfestival,"Prague Chess Festival","“I have positive memories from the last time. There are many strong players here and Prague is a beautiful city.” ♟️ Grandmaster @hans_niemann came back to our festival, you can enjoy full interview on our Youtube channel. 👇

🗣️ “Mám na Prahu dobré vzpomínky. Je tady mnoho skvělých hráčů a město je překrásné,” říkal před startem dalšího ročníku našeho festivalu Hans Niemann. Celý rozhovor si můžete pustit na našem youtube kanálu. ▶️

#chess #chessplayer #usa",132,"03/03/2026 08:18",https://www.instagram.com/reel/DVbblVRjOGF/,"IG reel",,Dlouhodobě,20007,12434,547,28,4,11,40
18070828448207644,17841409576254354,praguechessfestival,"Prague Chess Festival","Day six in progress! 🫶✨🔥

Šesté kolo začalo! ♟️

#chess #chessplayer #chessboard",15,"03/03/2026 06:48",https://www.instagram.com/reel/DVbRbnyDM77/,"IG reel",,Dlouhodobě,3367,2401,89,13,1,0,2
